region,measure,F,pvalue,fdr_significant,pvalue_corrected
7Networks_RH_Default_Temp_13,gradient2,2.1916693569634296,0.11893086500454184,False,0.3446333502956325
7Networks_RH_Default_Temp_14,gradient2,4.334360098938182,0.016593908841146972,False,0.11504050255164315
7Networks_RH_Default_Temp_15,gradient2,0.24486038997734308,0.783445544487132,False,0.8914478843179621
7Networks_RH_Default_Temp_16,gradient2,9.409551915173383,0.00022855509315975172,True,0.007667654738262638
7Networks_RH_Default_Temp_17,gradient2,4.156028860620089,0.01947267680693761,False,0.12675482495644746
7Networks_RH_Default_Temp_18,gradient2,0.42902838069853666,0.6527506514655734,False,0.8227390650599505
7Networks_RH_Default_Temp_2,gradient2,2.49434285445565,0.08946904183124788,False,0.2907743859515556
7Networks_RH_Default_Temp_3,gradient2,8.132635427816522,0.0006416646476006278,True,0.015166618943287564
7Networks_RH_Default_Temp_4,gradient2,2.09548866678163,0.1302500482385902,False,0.36743360881773135
7Networks_RH_Default_Temp_5,gradient2,0.6956941427663231,0.5019601333989939,False,0.70890700100599
7Networks_RH_Default_Temp_6,gradient2,3.910919078617689,0.02428913515137097,False,0.1427158223583379
7Networks_RH_Default_Temp_7,gradient2,3.6379393837006857,0.031116568502735455,False,0.1642702093545425
7Networks_RH_Default_Temp_8,gradient2,1.798947089558694,0.17263387099718722,False,0.4326246405712643
7Networks_RH_Default_Temp_9,gradient2,0.5187715782086785,0.5973999788022487,False,0.7844646186292156
7Networks_RH_Default_pCunPCC_1,gradient2,5.5741515840359765,0.005559832554242352,False,0.06285028104795702
7Networks_RH_Default_pCunPCC_10,gradient2,2.0526434839612366,0.13564307665518857,False,0.37319788286083627
7Networks_RH_Default_pCunPCC_11,gradient2,1.7288252516534264,0.18458389540801592,False,0.44130402580307254
7Networks_RH_Default_pCunPCC_12,gradient2,2.5100691944351365,0.08816080571314774,False,0.28750843126008385
7Networks_RH_Default_pCunPCC_13,gradient2,0.9118974195094594,0.40622769486238086,False,0.6447150262662952
7Networks_RH_Default_pCunPCC_14,gradient2,3.8020393821306584,0.026806158105765355,False,0.1489022892835227
7Networks_RH_Default_pCunPCC_15,gradient2,3.022053332814993,0.054750392252426526,False,0.22685421491045255
7Networks_RH_Default_pCunPCC_16,gradient2,2.2065661484449643,0.11727027274340207,False,0.343552348318699
7Networks_RH_Default_pCunPCC_17,gradient2,0.8188443142128429,0.4448959137779369,False,0.6712344677359794
7Networks_RH_Default_pCunPCC_18,gradient2,1.7382238890811128,0.18293411811298832,False,0.44130402580307254
7Networks_RH_Default_pCunPCC_2,gradient2,14.324900886815879,5.512179776789696e-06,True,0.0008333535078292078
7Networks_RH_Default_pCunPCC_3,gradient2,10.667710358779887,8.49503150819959e-05,True,0.004417416384263786
7Networks_RH_Default_pCunPCC_4,gradient2,13.100401207273663,1.3469120928309881e-05,True,0.0011673238137868563
7Networks_RH_Default_pCunPCC_5,gradient2,3.3776104005969043,0.039469452304361614,False,0.19171861723559686
7Networks_RH_Default_pCunPCC_6,gradient2,9.965237405810582,0.00014714058429901762,True,0.005885623371960705
7Networks_RH_Default_pCunPCC_7,gradient2,10.545456455717243,9.341788007133417e-05,True,0.004591652358196318
7Networks_RH_Default_pCunPCC_8,gradient2,1.783477352715064,0.17520004056136443,False,0.4327981999615653
7Networks_RH_Default_pCunPCC_9,gradient2,13.923095412378812,7.372527178280894e-06,True,0.0008333535078292078
7Networks_RH_DorsAttn_FEF_1,gradient2,3.0285406277358815,0.054423039145281,False,0.22685421491045255
7Networks_RH_DorsAttn_FEF_2,gradient2,0.2605145035223421,0.7713587927844088,False,0.8838453224929874
7Networks_RH_DorsAttn_FEF_3,gradient2,2.513771284022468,0.08785570481340614,False,0.28750843126008385
7Networks_RH_DorsAttn_FEF_4,gradient2,4.020314529230044,0.022003983276910014,False,0.13540912785790776
