measure,A,B,region,tstat,pvalue_corrected
eccentricity,baseline,early,7Networks_LH_Default_PFC_17,-0.9940480078811096,0.5367015865548226
eccentricity,baseline,early,7Networks_LH_Default_PFC_18,-0.3457491182924094,0.9485659064868084
eccentricity,baseline,early,7Networks_LH_Default_PFC_19,-3.3835241653541117,0.0034411195754348012
eccentricity,baseline,early,7Networks_LH_Default_PFC_2,0.991777706637611,0.6958471437166783
eccentricity,baseline,early,7Networks_LH_Default_PFC_20,-2.036561269760101,0.1358168809555776
eccentricity,baseline,early,7Networks_LH_Default_PFC_21,-1.8136007233040785,0.22138075098951093
eccentricity,baseline,early,7Networks_LH_Default_PFC_22,-1.184451350306518,0.49501399166376203
eccentricity,baseline,early,7Networks_LH_Default_PFC_23,-1.912363460327426,0.17910035531035828
eccentricity,baseline,early,7Networks_LH_Default_PFC_24,-1.1038744912495972,0.4230065493059231
eccentricity,baseline,early,7Networks_LH_Default_PFC_25,-1.5222668236280077,0.2272077653785964
eccentricity,baseline,early,7Networks_LH_Default_PFC_26,-1.9645036138667482,0.15968058721747308
eccentricity,baseline,early,7Networks_LH_Default_PFC_27,-3.065207080606921,0.005322664669685537
eccentricity,baseline,early,7Networks_LH_Default_PFC_28,-2.4226966842407616,0.05355909145919695
eccentricity,baseline,early,7Networks_LH_Default_PFC_29,-2.392017014683756,0.05788966043483788
eccentricity,baseline,early,7Networks_LH_Default_PFC_3,-0.15805817065604794,0.8748414853486269
eccentricity,baseline,early,7Networks_LH_Default_PFC_30,-2.4090447728803994,0.05544903970367976
eccentricity,baseline,early,7Networks_LH_Default_PFC_31,-1.9112889402762698,0.17952072186872023
eccentricity,baseline,early,7Networks_LH_Default_PFC_32,-1.5674312761241802,0.363841350888259
eccentricity,baseline,early,7Networks_LH_Default_PFC_33,-2.048606596727156,0.06772787159728857
eccentricity,baseline,early,7Networks_LH_Default_PFC_34,-1.5661698893336358,0.18895837204226268
eccentricity,baseline,early,7Networks_LH_Default_PFC_35,-1.1379746228439345,0.6034815046704273
eccentricity,baseline,early,7Networks_LH_Default_PFC_36,-0.7613127209746735,0.7664202254732927
