indic,roi,pair,tstat,pvalue,signif
ecc,0,baseline__early,-0.44430458422592883,0.658052685880272,0
ecc,0,baseline__late,-0.9470979213332572,0.34651385404954527,0
ecc,0,early__late,-0.440810966743784,0.6605692160942946,0
ecc,1,baseline__early,-1.1248938380256108,0.26408370647910845,0
ecc,1,baseline__late,-0.8863553969737796,0.3781506825285402,0
ecc,1,early__late,0.37041646017652224,0.7120762106130452,0
ecc,2,baseline__early,-0.9383190289473341,0.3509769900560191,0
ecc,2,baseline__late,-0.3603492469489834,0.719559957114801,0
ecc,2,early__late,0.6682446210312534,0.505950145646393,0
ecc,3,baseline__early,-0.05021142194365346,0.9600822683229859,0
ecc,3,baseline__late,-0.34184224978563504,0.7333889163275924,0
ecc,3,early__late,-0.26051364954495115,0.7951541069855419,0
ecc,4,baseline__early,0.543548157977315,0.5883026166555714,0
ecc,4,baseline__late,0.3855419869098583,0.700885372303355,0
ecc,4,early__late,-0.23226220799083713,0.8169426843863327,0
ecc,5,baseline__early,0.33993808482859794,0.7348168706428027,0
ecc,5,baseline__late,0.09561068266359747,0.924074995483896,0
ecc,5,early__late,-0.23602909623092566,0.8140287665098158,0
ecc,6,baseline__early,0.28884928657578196,0.7734629961447033,0
ecc,6,baseline__late,0.37165630332757227,0.7111564727692075,0
ecc,6,early__late,0.04732498708500128,0.962375176567531,0
ecc,7,baseline__early,1.420143228416215,0.15955080585523235,0
ecc,7,baseline__late,0.36824223190273947,0.7136901226711254,0
ecc,7,early__late,-1.153248330731585,0.2523302623151079,0
ecc,8,baseline__early,-0.5596734535377569,0.5773058932533722,0
ecc,8,baseline__late,-1.2045826101125665,0.2320068200533629,0
ecc,8,early__late,-0.6897958713399319,0.49236978331593073,0
ecc,9,baseline__early,0.04972198137405196,0.9604710439260631,0
ecc,9,baseline__late,-0.6674896834695682,0.5064294805420424,0
ecc,9,early__late,-0.6136094950334713,0.54125877367794,0
ecc,10,baseline__early,0.10133433812951671,0.9195450965193271,0
ecc,10,baseline__late,-1.6599048357714996,0.10094905677364782,0
ecc,10,early__late,-1.8005808056035513,0.07563464653006992,0
ecc,11,baseline__early,1.0450274000361188,0.29923815889318095,0
ecc,11,baseline__late,-0.7765602243874179,0.43976685750674793,0
ecc,11,early__late,-2.0808944101994142,0.040725628752678565,1
ecc,12,baseline__early,0.5547198266106576,0.580673528451025,0
ecc,12,baseline__late,-1.1331321853642726,0.26062976615209793,0
ecc,12,early__late,-1.6684071014329007,0.09924467125125885,0
ecc,13,baseline__early,-0.8335765188967938,0.4070650821490819,0
ecc,13,baseline__late,-1.041425963101915,0.3008951589584178,0
ecc,13,early__late,-0.12371377523916298,0.9018601494833649,0
ecc,14,baseline__early,0.31706873774088323,0.7520385713150601,0
ecc,14,baseline__late,-0.24715431025346882,0.8054381852328659,0
ecc,14,early__late,-0.610338620393325,0.5434117641053355,0
ecc,15,baseline__early,-0.14238736885376035,0.8871411977437927,0
ecc,15,baseline__late,-0.3507942460616978,0.7266883847292658,0
ecc,15,early__late,-0.2144406648561609,0.8307630639327728,0
ecc,16,baseline__early,0.3997763717973842,0.6904138956067394,0
ecc,16,baseline__late,-2.0680368826668323,0.041951508604678125,1
ecc,16,early__late,-2.3314533997682014,0.022312484931313502,1
ecc,17,baseline__early,-2.58398859510601,0.011633485248109851,1
ecc,17,baseline__late,-1.0229249557556883,0.3095054576250367,0
ecc,17,early__late,1.8502863027622218,0.06805901447947178,0
ecc,18,baseline__early,0.9053234071739658,0.36808207080285404,0
ecc,18,baseline__late,-0.8837702435077793,0.379536205461365,0
